,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,1,-1,-1,-1,1,1,0.125,0.4591007000000001,1
1,-1,1,-1,1,1,1,-1,-1,0.25,0.7388083,1
2,1,1,1,-1,-1,1,-1,-1,0.375,-0.17212490000000008,1
3,1,1,1,-1,1,-1,-1,1,0.25,-0.2131319000000001,1
4,1,-1,1,-1,-1,1,-1,1,0.25,0.4459781,1
5,-1,1,-1,-1,-1,1,1,-1,0.25,0.13721490000000008,1
6,1,-1,-1,1,1,1,1,1,0.375,-0.31042770000000003,1
7,-1,-1,1,-1,1,-1,1,-1,0.25,0.1980205,1
8,1,-1,-1,1,1,-1,-1,-1,0.375,-0.5928653,1
9,-1,-1,-1,-1,-1,-1,-1,-1,0.25,-0.20167970000000002,1
10,1,1,-1,-1,-1,-1,-1,-1,0.25,-0.47904090000000005,1
11,-1,1,-1,-1,-1,1,-1,1,0.375,-0.4342803,1
12,-1,1,1,1,1,-1,-1,1,0.5,-0.10596010000000002,1
13,1,1,1,1,-1,1,-1,1,0.375,0.3333327000000001,1
14,-1,-1,-1,1,-1,1,1,1,0.25,-0.6659041,1
15,-1,-1,-1,1,-1,1,1,1,0.375,-0.6659041,1
16,-1,-1,-1,-1,1,1,1,1,0.375,-0.5733751,1
17,1,1,1,1,-1,-1,-1,-1,0.5,-0.4664333,1
18,1,1,-1,1,1,1,-1,-1,0.5,0.09036970000000001,1
19,-1,1,1,1,1,1,-1,1,0.25,0.14807830000000005,1
20,1,1,-1,1,-1,-1,-1,-1,0.5,-0.5596629000000001,1
21,-1,1,-1,1,1,1,1,1,0.625,-0.1337996999999999,1
22,1,1,-1,1,-1,-1,1,1,0.375,0.47893710000000006,1
23,1,-1,-1,1,-1,1,-1,1,0.5,0.18828090000000003,1
24,1,-1,-1,-1,1,1,1,-1,0.5,-0.1073381,1
25,-1,1,-1,-1,-1,-1,1,-1,0.375,-0.3188626999999999,1
26,1,-1,-1,-1,1,1,1,-1,0.375,-0.1073381,1
27,1,1,-1,-1,-1,-1,-1,-1,0.5,-0.47904090000000005,1
28,1,-1,1,1,1,-1,1,-1,0.375,-0.10725930000000004,1
29,-1,1,1,-1,-1,-1,1,1,0.375,-0.26587670000000013,1
30,1,1,1,-1,-1,1,1,1,0.375,-0.2068929,1
31,-1,-1,-1,1,-1,1,1,-1,0.375,-0.11807170000000002,1
32,1,1,-1,1,1,-1,-1,1,0.375,-0.17402030000000002,1
33,1,1,-1,-1,-1,-1,1,-1,0.375,0.1666587,1
34,-1,1,-1,-1,-1,-1,1,-1,0.375,-0.3188626999999999,1
35,-1,1,-1,-1,-1,-1,-1,1,0.375,-0.4288619000000001,1
36,1,1,1,-1,-1,1,1,1,0.5,-0.2068929,1
37,1,1,-1,-1,-1,1,1,-1,0.375,0.1609683,1
38,-1,1,1,1,1,1,-1,1,0.375,0.14807830000000005,1
39,1,1,1,-1,1,1,-1,-1,0.5,-0.48724189999999995,1
40,-1,1,-1,1,-1,-1,1,-1,0.625,-0.5916798999999998,1
41,1,1,-1,-1,1,1,1,1,0.375,-0.3933443,1
42,1,1,1,-1,1,-1,1,-1,0.375,0.1607073,1
43,-1,1,-1,1,-1,-1,-1,1,0.5,-0.7406327000000005,1
44,1,1,1,-1,1,-1,-1,1,0.375,-0.2131319000000001,1
45,-1,1,1,1,-1,1,1,1,0.25,-0.25041230000000003,1
46,1,1,1,-1,1,1,-1,1,0.5,-0.8116134999999999,1
47,1,-1,-1,-1,1,1,1,1,0.375,-0.6050377,1
48,-1,1,1,-1,1,1,-1,1,0.375,-0.16040690000000002,1
49,1,1,-1,1,-1,-1,-1,-1,0.5,-0.5596629000000001,1
50,1,-1,-1,-1,-1,1,1,1,0.625,-0.11651269999999996,1
51,1,-1,-1,-1,-1,-1,1,1,0.375,0.7789136999999998,1
52,1,1,1,-1,1,1,-1,1,0.5,-0.8116134999999999,1
53,-1,-1,1,1,1,-1,1,-1,0.375,-0.060740699999999995,1
54,1,-1,1,1,-1,-1,-1,-1,0.375,-0.2879187,1
55,1,1,-1,1,1,-1,-1,1,0.5,-0.17402030000000002,1
56,-1,1,-1,-1,1,1,1,1,0.5,-0.4016336999999999,1
57,1,-1,1,-1,1,1,-1,1,0.5,-0.6054269,1
58,1,-1,1,1,-1,1,-1,-1,0.375,0.23339170000000015,1
59,1,1,1,-1,-1,1,-1,1,0.625,-0.07855250000000007,1
60,1,1,-1,1,-1,-1,-1,-1,0.375,-0.5596629000000001,1
61,1,1,-1,-1,-1,1,-1,-1,0.625,-0.23029930000000004,1
62,-1,1,1,-1,1,1,1,-1,0.5,0.7342803,1
63,-1,1,1,1,1,-1,1,-1,0.375,0.3661847,1
64,1,1,-1,1,1,-1,1,1,0.5,0.6345001,1
65,-1,-1,1,-1,1,1,-1,-1,0.5,0.5848793,1
66,1,1,1,-1,-1,-1,1,-1,0.5,-0.08714370000000003,1
67,1,1,1,1,-1,-1,-1,-1,0.5,-0.4664333,1
68,1,1,-1,1,-1,-1,1,-1,0.625,0.1360655,1
69,1,1,-1,1,-1,1,-1,-1,0.625,0.07983069999999996,1
70,1,1,-1,-1,-1,-1,1,-1,0.5,0.1666587,1
71,-1,1,-1,1,1,1,1,-1,0.5,1.1363527000000002,1
72,-1,1,1,-1,1,-1,-1,1,0.375,-0.023693300000000042,1
73,1,-1,1,-1,1,-1,1,1,0.5,0.3419543,1
74,-1,1,1,1,1,1,1,-1,0.25,1.0817191000000002,1
75,-1,1,-1,1,-1,1,-1,-1,0.5,0.23365330000000006,1
76,1,1,-1,1,-1,-1,-1,-1,0.5,-0.5596629000000001,1
77,-1,-1,-1,-1,1,1,1,1,0.5,-0.5733751,1
78,1,-1,1,1,1,1,-1,-1,0.375,-0.26124530000000007,1
79,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
80,1,1,1,-1,-1,1,-1,-1,0.375,-0.17212490000000008,1
81,1,1,-1,-1,-1,-1,-1,1,0.5,0.1160115,1
82,-1,1,1,-1,-1,1,1,1,0.5,-0.47010230000000003,1
83,1,1,-1,1,1,-1,-1,-1,0.5,-0.3622039000000001,1
84,1,1,1,-1,-1,1,-1,-1,0.5,-0.17212490000000008,1
85,1,1,-1,-1,-1,-1,-1,-1,0.5,-0.47904090000000005,1
86,-1,1,-1,1,1,-1,-1,1,0.5,-0.46650169999999996,1
87,1,1,1,-1,-1,1,-1,1,0.375,-0.07855250000000007,1
88,1,1,-1,-1,-1,-1,1,1,0.625,0.4984551,1
89,1,1,-1,-1,-1,-1,-1,1,0.625,0.1160115,1
90,1,-1,1,1,1,1,1,1,0.5,-0.29947730000000006,1
91,-1,1,1,1,1,1,1,1,0.5,0.02601470000000007,1
92,-1,1,-1,1,1,-1,1,1,0.375,-0.07778129999999993,1
93,-1,1,-1,1,1,1,-1,1,0.375,-0.2680881,1
94,1,1,1,1,1,1,1,1,0.625,0.03683209999999994,1
95,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
96,-1,-1,-1,1,1,1,1,1,0.375,-0.5209891000000001,1
97,-1,1,-1,1,-1,-1,1,-1,0.625,-0.5916798999999998,1
98,-1,1,-1,-1,-1,1,-1,1,0.625,-0.4342803,1
99,1,1,1,1,-1,-1,-1,-1,0.625,-0.4664333,1
100,1,1,-1,1,-1,1,1,-1,0.5,0.5211271,1
101,1,1,1,-1,1,-1,1,-1,0.5,0.1607073,1
102,1,1,1,1,1,1,1,-1,0.375,0.6133845,1
103,1,1,1,1,-1,-1,-1,1,0.625,0.35414229999999997,1
104,1,1,1,1,1,1,-1,1,0.625,-0.26090430000000003,1
105,1,-1,-1,-1,1,-1,-1,1,0.375,0.045865100000000034,1
106,-1,1,1,1,-1,-1,-1,-1,0.625,-0.5346827000000001,1
107,1,1,-1,-1,1,-1,1,-1,0.5,0.6013417,1
108,-1,1,-1,1,-1,-1,1,-1,0.5,-0.5916798999999998,1
109,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
110,-1,1,1,1,-1,-1,1,-1,0.5,-0.5151062999999999,1
111,1,1,1,-1,-1,-1,1,-1,0.5,-0.08714370000000003,1
112,1,1,1,1,-1,1,-1,-1,0.5,0.22868510000000014,1
113,1,1,-1,-1,1,1,1,1,0.5,-0.3933443,1
114,1,1,1,1,1,-1,-1,-1,0.625,-0.45580630000000005,1
115,1,1,-1,-1,-1,1,1,-1,0.625,0.1609683,1
116,-1,1,1,-1,-1,1,1,1,0.75,-0.47010230000000003,1
117,1,1,1,1,-1,-1,-1,-1,0.375,-0.4664333,1
118,1,1,-1,1,-1,-1,1,1,0.5,0.47893710000000006,1
119,-1,1,1,-1,-1,1,1,-1,0.375,0.17873329999999998,1
120,-1,1,1,-1,-1,-1,1,-1,0.375,-0.33296909999999996,1
121,1,1,1,1,-1,-1,-1,1,0.5,0.35414229999999997,1
122,1,-1,1,1,-1,1,-1,1,0.625,0.6424153,1
123,-1,1,1,1,-1,-1,1,1,0.625,-0.43693870000000007,1
124,1,1,-1,-1,1,1,1,1,0.625,-0.3933443,1
125,1,1,-1,1,1,-1,1,-1,0.5,0.7095725,1
126,-1,1,-1,1,-1,1,-1,-1,0.5,0.23365330000000006,1
127,1,1,-1,-1,1,-1,1,1,0.625,0.5151940999999999,1
128,1,1,-1,-1,1,1,1,-1,0.5,0.40873129999999996,1
129,1,-1,-1,-1,1,1,1,-1,0.5,-0.1073381,1
130,1,1,-1,-1,1,1,1,-1,0.625,0.40873129999999996,1
131,1,-1,1,1,1,1,1,-1,0.625,-0.027300900000000086,1
132,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
133,1,-1,-1,-1,-1,1,1,-1,0.625,-0.0367571,1
134,-1,1,1,1,-1,-1,1,1,0.5,-0.43693870000000007,1
135,1,1,1,1,1,1,-1,1,0.625,-0.26090430000000003,1
136,-1,1,-1,-1,-1,-1,-1,1,0.375,-0.4288619000000001,1
137,1,-1,1,1,-1,-1,1,1,0.625,0.6861052999999999,1
138,1,1,1,1,1,-1,-1,1,0.5,-0.05317470000000003,1
139,1,1,-1,-1,-1,1,-1,-1,0.375,-0.23029930000000004,1
140,-1,1,1,-1,-1,1,-1,-1,0.375,0.46361769999999997,1
141,1,-1,1,-1,1,1,1,-1,0.5,-0.4015157000000002,1
142,-1,1,1,1,-1,1,-1,1,0.625,0.2476993,1
143,1,1,-1,-1,-1,-1,1,1,0.5,0.4984551,1
144,1,-1,1,-1,1,1,1,1,0.5,-0.6847673000000002,1
145,1,1,1,1,1,1,1,1,0.5,0.03683209999999994,1
146,1,1,1,1,1,-1,-1,1,0.625,-0.05317470000000003,1
147,1,1,-1,1,-1,1,1,-1,0.625,0.5211271,1
148,-1,1,-1,-1,-1,1,1,-1,0.375,0.13721490000000008,1
149,-1,1,-1,1,-1,-1,-1,-1,0.625,-0.8676083000000002,1
150,-1,1,-1,-1,-1,-1,-1,-1,0.625,-0.5447623,1
151,1,1,-1,1,-1,-1,-1,-1,0.625,-0.5596629000000001,1
152,-1,1,1,-1,-1,-1,1,1,0.625,-0.26587670000000013,1
153,1,1,-1,-1,-1,-1,-1,-1,0.75,-0.47904090000000005,1
154,-1,1,1,-1,-1,-1,1,1,0.5,-0.26587670000000013,1
155,1,1,1,-1,-1,1,-1,1,0.625,-0.07855250000000007,1
156,1,-1,1,1,1,-1,-1,1,0.5,0.11137189999999998,1
157,1,-1,1,-1,1,1,-1,-1,0.625,-0.5854313000000001,1
158,1,1,1,1,1,-1,-1,1,0.375,-0.05317470000000003,1
159,-1,1,1,-1,1,-1,-1,1,0.625,-0.023693300000000042,1
160,-1,1,1,-1,-1,-1,1,1,0.5,-0.26587670000000013,1
161,1,1,1,-1,-1,1,-1,-1,0.5,-0.17212490000000008,1
162,-1,1,1,-1,-1,-1,-1,-1,0.5,-0.30251669999999997,1
163,1,1,-1,1,1,-1,-1,-1,0.625,-0.3622039000000001,1
164,1,1,1,-1,-1,1,1,1,0.625,-0.2068929,1
165,1,1,-1,1,1,-1,-1,-1,0.5,-0.3622039000000001,1
166,1,1,1,-1,-1,-1,1,-1,0.5,-0.08714370000000003,1
167,1,-1,-1,-1,1,1,-1,1,0.625,-0.7820492999999998,1
168,1,1,1,1,1,-1,1,1,0.5,0.49899369999999993,1
169,1,1,1,1,-1,1,1,-1,0.5,0.4136295,1
170,1,1,1,-1,-1,-1,1,-1,0.5,-0.08714370000000003,1
171,1,1,1,1,1,-1,-1,-1,0.625,-0.45580630000000005,1
172,1,1,-1,-1,-1,1,-1,-1,0.625,-0.23029930000000004,1
173,1,1,-1,1,-1,-1,1,-1,0.625,0.1360655,1
174,-1,1,-1,-1,1,1,-1,1,0.5,-0.48589330000000003,1
175,-1,1,-1,1,1,1,-1,1,0.5,-0.2680881,1
176,-1,1,-1,1,-1,-1,-1,-1,0.5,-0.8676083000000002,1
177,1,-1,1,1,1,-1,-1,-1,0.625,-0.5956357000000001,1
178,1,-1,1,1,1,1,-1,1,0.625,-0.27016570000000006,1
179,1,1,1,-1,1,-1,1,1,0.5,0.28900770000000003,1
180,-1,1,-1,1,-1,1,-1,1,0.625,-0.3552991,1
181,1,1,-1,1,-1,-1,-1,1,0.625,0.046464699999999984,1
182,1,-1,1,1,-1,1,1,1,0.625,0.23705570000000004,1
183,-1,1,-1,1,-1,-1,-1,-1,0.625,-0.8676083000000002,1
184,1,1,-1,-1,1,-1,-1,-1,0.625,-0.42040589999999994,1
185,1,-1,-1,-1,1,-1,1,-1,0.625,0.2590803000000001,1
186,1,1,-1,1,-1,1,1,1,0.5,0.1480707,1
187,1,1,-1,1,1,1,1,-1,0.625,0.9077141000000001,1
188,-1,1,1,-1,1,-1,-1,-1,0.625,0.06390229999999998,1
189,1,1,1,-1,1,-1,1,1,0.625,0.28900770000000003,1
190,-1,1,-1,-1,-1,-1,-1,-1,0.375,-0.5447623,1
191,1,-1,-1,1,-1,1,-1,-1,0.75,-0.0062946999999999725,1
192,1,-1,-1,-1,-1,-1,-1,1,0.5,0.7235180999999999,1
193,1,-1,1,1,-1,-1,-1,-1,0.375,-0.2879187,1
194,1,1,1,-1,1,1,-1,-1,0.75,-0.48724189999999995,1
195,1,-1,1,-1,1,-1,-1,-1,0.625,-0.5290697000000001,1
196,1,1,1,-1,-1,1,-1,-1,0.75,-0.17212490000000008,1
197,1,1,1,-1,-1,-1,-1,1,0.625,0.3330091,1
198,1,1,-1,1,1,1,1,-1,0.625,0.9077141000000001,1
199,1,-1,1,-1,-1,1,-1,1,0.75,0.4459781,1
200,1,-1,-1,-1,-1,1,-1,1,0.5,0.08252370000000002,1
201,-1,1,-1,1,-1,-1,-1,-1,0.625,-0.8676083000000002,1
202,1,1,-1,1,1,1,1,1,0.625,0.11671370000000016,1
203,1,-1,-1,-1,1,1,-1,1,0.5,-0.7820492999999998,1
204,1,1,1,-1,1,-1,-1,-1,0.75,-0.6046883,1
205,1,1,1,-1,1,1,1,1,0.625,-0.5639059000000001,1
206,1,1,1,1,1,-1,1,-1,0.625,0.3596181,1
207,-1,1,-1,-1,1,1,1,1,0.5,-0.4016336999999999,1
208,-1,1,-1,1,-1,-1,-1,1,0.625,-0.7406327000000005,1
209,-1,-1,-1,1,-1,1,-1,1,0.5,-0.09709650000000002,1
210,1,-1,-1,1,-1,-1,1,-1,0.625,-0.10329989999999993,1
211,1,1,-1,-1,1,-1,-1,-1,0.625,-0.42040589999999994,1
212,-1,1,-1,1,-1,-1,-1,-1,0.5,-0.8676083000000002,1
213,1,-1,1,-1,-1,-1,-1,-1,0.625,-0.08252869999999991,1
214,1,1,-1,1,-1,-1,1,-1,0.75,0.1360655,1
215,1,1,1,1,1,1,-1,1,0.625,-0.26090430000000003,1
216,1,1,-1,-1,1,1,-1,1,0.5,-0.8974038999999998,1
217,-1,1,-1,-1,1,1,1,-1,0.5,0.8795939000000002,1
218,1,-1,1,1,-1,1,-1,-1,0.5,0.23339170000000015,1
219,-1,1,1,-1,-1,1,-1,-1,0.5,0.46361769999999997,1
220,1,1,-1,1,-1,1,-1,1,0.625,-0.02996970000000003,1
221,1,1,1,1,1,-1,-1,1,0.75,-0.05317470000000003,1
222,-1,1,-1,1,-1,-1,-1,1,0.625,-0.7406327000000005,1
223,-1,1,-1,1,-1,1,-1,-1,0.625,0.23365330000000006,1
224,-1,1,1,1,1,-1,-1,-1,0.625,-0.0294397,1
225,1,1,-1,1,-1,-1,-1,1,0.625,0.046464699999999984,1
226,-1,-1,1,-1,-1,-1,-1,1,0.625,0.7661222999999999,1
227,1,-1,1,-1,-1,1,1,1,0.5,-0.009410299999999941,1
228,1,1,-1,1,1,1,-1,-1,0.625,0.09036970000000001,1
229,1,-1,-1,1,1,1,-1,-1,0.625,-0.3140996999999999,1
230,1,1,-1,-1,-1,-1,1,-1,0.75,0.1666587,1
231,1,1,-1,-1,1,-1,1,1,0.75,0.5151940999999999,1
232,1,1,1,1,-1,-1,1,1,0.625,0.5302627,1
233,1,1,1,1,1,1,1,1,0.625,0.03683209999999994,1
234,-1,1,-1,1,-1,-1,-1,-1,0.625,-0.8676083000000002,1
235,1,1,1,1,-1,1,1,-1,0.625,0.4136295,1
236,1,1,1,-1,-1,1,-1,1,0.625,-0.07855250000000007,1
237,1,1,1,-1,-1,-1,1,-1,0.625,-0.08714370000000003,1
238,1,1,-1,1,1,-1,-1,1,0.75,-0.17402030000000002,1
239,1,1,-1,1,-1,1,1,1,0.75,0.1480707,1
240,1,-1,1,1,1,-1,1,-1,0.625,-0.10725930000000004,1
241,-1,-1,-1,-1,1,-1,1,-1,0.5,0.3081268999999999,1
242,1,-1,-1,-1,1,1,1,1,0.625,-0.6050377,1
243,1,-1,-1,1,1,1,1,-1,0.75,0.17619669999999998,1
244,1,1,-1,1,1,1,-1,-1,0.75,0.09036970000000001,1
245,1,1,1,-1,1,-1,1,1,0.875,0.28900770000000003,1
246,1,1,1,-1,-1,-1,-1,1,0.75,0.3330091,1
247,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
248,-1,1,-1,-1,1,1,1,1,0.5,-0.4016336999999999,1
249,1,-1,1,-1,-1,-1,-1,1,0.5,1.0313477,1
250,1,1,1,1,-1,1,1,1,0.625,0.25502110000000006,1
251,1,1,-1,1,1,1,1,-1,0.625,0.9077141000000001,1
252,1,1,-1,1,1,1,1,1,0.75,0.11671370000000016,1
253,1,1,-1,1,-1,1,1,-1,0.75,0.5211271,1
254,1,1,1,1,1,-1,-1,1,0.5,-0.05317470000000003,1
255,1,1,1,1,-1,1,1,1,0.75,0.25502110000000006,1
256,1,1,-1,-1,-1,-1,1,1,0.625,0.4984551,1
257,1,1,1,1,-1,-1,-1,1,0.625,0.35414229999999997,1
258,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
259,-1,-1,1,1,-1,1,-1,1,0.5,0.5967339000000002,1
260,1,1,-1,-1,-1,1,1,-1,0.625,0.1609683,1
261,-1,1,-1,-1,1,-1,-1,-1,0.625,0.00848870000000003,1
262,1,-1,1,1,-1,1,1,-1,0.5,0.09128809999999997,1
263,1,1,1,-1,-1,-1,1,1,0.75,0.4591007000000001,1
264,1,1,1,1,1,1,-1,1,0.625,-0.26090430000000003,1
265,1,-1,-1,-1,1,1,-1,-1,0.625,-0.5476057,1
266,1,-1,-1,-1,1,1,-1,-1,0.75,-0.5476057,1
267,1,1,-1,-1,1,-1,-1,1,0.5,-0.2432975,1
268,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
269,1,-1,-1,-1,1,-1,1,1,0.5,0.4773087000000001,1
270,1,1,1,-1,-1,-1,1,1,0.625,0.4591007000000001,1
271,1,-1,-1,-1,1,-1,-1,1,0.625,0.045865100000000034,1
272,1,1,1,1,-1,1,-1,-1,0.625,0.22868510000000014,1
273,1,1,-1,-1,1,-1,-1,1,0.625,-0.2432975,1
274,-1,1,1,-1,-1,-1,1,1,0.5,-0.26587670000000013,1
275,-1,1,1,1,-1,-1,1,-1,0.625,-0.5151062999999999,1
276,-1,1,1,-1,-1,-1,-1,1,0.625,0.02783170000000003,1
277,1,1,-1,1,-1,1,-1,-1,0.625,0.07983069999999996,1
278,1,1,-1,-1,1,1,1,-1,0.625,0.40873129999999996,1
279,1,-1,1,-1,-1,1,1,-1,0.75,-0.14410269999999992,1
280,1,1,-1,1,1,1,1,-1,0.5,0.9077141000000001,1
281,-1,-1,1,1,1,1,-1,-1,0.625,0.6668413000000001,1
282,1,1,-1,1,1,-1,-1,1,0.625,-0.17402030000000002,1
283,1,1,1,-1,-1,-1,1,1,0.75,0.4591007000000001,1
284,-1,1,1,1,1,-1,-1,1,0.75,-0.10596010000000002,1
285,1,1,1,1,1,-1,-1,1,0.625,-0.05317470000000003,1
286,1,1,-1,1,-1,-1,-1,-1,0.5,-0.5596629000000001,1
287,1,1,-1,-1,1,1,-1,-1,0.625,-0.3585842999999999,1
288,1,1,1,1,1,-1,-1,1,0.625,-0.05317470000000003,1
289,1,-1,-1,-1,-1,-1,1,1,0.625,0.7789136999999998,1
290,1,1,1,-1,-1,1,-1,-1,0.75,-0.17212490000000008,1
291,1,1,1,1,-1,1,1,-1,0.5,0.4136295,1
292,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
293,1,-1,-1,-1,1,-1,1,1,0.625,0.4773087000000001,1
294,-1,1,-1,-1,-1,1,1,-1,0.625,0.13721490000000008,1
295,-1,1,-1,-1,-1,-1,1,-1,0.75,-0.3188626999999999,1
296,1,1,1,1,-1,-1,-1,-1,0.625,-0.4664333,1
297,1,1,1,-1,-1,-1,-1,1,0.625,0.3330091,1
298,1,1,-1,1,-1,-1,-1,-1,0.75,-0.5596629000000001,1
299,1,-1,1,1,1,-1,-1,-1,0.625,-0.5956357000000001,2
300,1,-1,-1,1,-1,1,-1,-1,0.625,-0.0062946999999999725,1
301,-1,1,-1,-1,-1,1,-1,-1,0.625,0.1657473,1
302,1,1,-1,1,1,-1,1,1,0.75,0.6345001,1
303,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
304,1,1,-1,-1,1,1,-1,-1,0.75,-0.3585842999999999,1
305,1,1,1,1,-1,1,-1,-1,0.625,0.22868510000000014,1
306,1,-1,1,-1,-1,-1,-1,-1,0.625,-0.08252869999999991,1
307,1,1,-1,-1,1,-1,1,1,0.625,0.5151940999999999,1
308,1,1,1,1,1,-1,1,1,0.625,0.49899369999999993,1
309,1,1,-1,1,-1,1,-1,1,0.5,-0.02996970000000003,1
310,1,1,-1,-1,-1,1,1,1,0.75,-0.2231633,1
311,1,1,-1,1,-1,1,-1,-1,0.625,0.07983069999999996,1
312,-1,-1,1,-1,1,-1,-1,1,0.5,0.3962533,1
313,1,1,-1,-1,-1,1,-1,-1,0.75,-0.23029930000000004,1
314,-1,1,1,1,1,1,1,1,0.625,0.02601470000000007,1
315,1,1,1,1,1,-1,1,1,0.75,0.49899369999999993,1
316,-1,1,-1,-1,1,-1,1,-1,0.375,0.6104363000000002,1
317,-1,1,1,1,1,-1,-1,-1,0.625,-0.0294397,1
318,1,1,-1,1,1,1,-1,1,0.625,-0.43737469999999995,1
319,1,-1,-1,-1,1,-1,-1,1,0.625,0.045865100000000034,1
320,1,1,-1,-1,1,1,-1,1,0.625,-0.8974038999999998,1
321,1,-1,-1,1,1,-1,-1,-1,0.625,-0.5928653,1
322,1,1,-1,-1,-1,-1,1,1,0.75,0.4984551,1
323,-1,1,1,1,-1,1,-1,1,0.625,0.2476993,1
324,-1,1,-1,1,1,-1,1,-1,0.625,0.47644309999999995,1
325,1,-1,1,-1,1,1,1,1,0.5,-0.6847673000000002,1
326,1,1,-1,-1,1,1,-1,1,0.625,-0.8974038999999998,1
327,1,1,-1,-1,1,1,-1,-1,0.5,-0.3585842999999999,1
328,-1,-1,1,-1,-1,-1,-1,1,0.375,0.7661222999999999,1
